CLOSED DATE,OPEID,SCHOOL NAME,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
07/30/2021 ,02178901     ,JOLIE HEALTH AND BEAUTY ACADEMY                                       ,JOLIE HEALTH AND BEAUTY ACADEMY - NORTHFIELD                          ,801 TILTON ROAD                                                        ,NORTHFIELD               ,NJ        ,08225-1265
07/30/2021 ,02178902     ,JOLIE HEALTH AND BEAUTY ACADEMY                                       ,JOLIE HEALTH AND BEAUTY ACADEMY - CHERRY HILL                         ,1400  BERLIN ROAD WOODCREST SHOPPING CENTER STE 100                    ,CHERRY HILL              ,NJ        ,08003-3652
07/30/2021 ,02275801     ,MR. LEON'S SCHOOL OF HAIR DESIGN                                      ,MR. LEON'S SCHOOL OF HAIR DESIGN                                      ,205 10TH STREET                                                        ,LEWISTON                 ,ID        ,83501-1910
07/30/2021 ,02289700     ,JOLIE HEALTH AND BEAUTY ACADEMY                                       ,JOLIE HEALTH AND BEAUTY ACADEMY                                       ,125 NORTH WILKES BARRE BOULEVARD                                       ,WILKES BARRE             ,PA        ,18702-5354
07/30/2021 ,02289701     ,JOLIE HEALTH AND BEAUTY ACADEMY                                       ,JOLIE HEALTH AND BEAUTY ACADEMY - TURNERSVILLE                        ,5200 ROUTE 42 GANTTOWN PLAZA                                           ,TURNERSVILLE             ,NJ        ,08012-1760
07/30/2021 ,03374300     ,FLORIDA COASTAL SCHOOL OF LAW                                         ,FLORIDA COASTAL SCHOOL OF LAW                                         ,8787 BAYPINE ROAD                                                      ,JACKSONVILLE             ,FL        ,32256-8528
07/21/2021 ,02522802     ,FOX COLLEGE                                                           ,FOX COLLEGE                                                           ,6640 S. CICERO                                                         ,BEDFORD PARK             ,IL        ,60638-1999
07/21/2021 ,03164300     ,CREATIVE CENTER (THE)                                                 ,CREATIVE CENTER (THE)                                                 ,10850 EMMET STREET                                                     ,OMAHA                    ,NE        ,68164-2911
07/12/2021 ,00392006     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - LAKESHORE TECHNICAL COLLEGE       ,1290 NORTH AVENUE                                                      ,CLEVELAND                ,WI        ,53015-0000
07/12/2021 ,00392010     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - NORTHCENTRAL TECHNICAL COLLEGE    ,1000 WEST  CAMPUS DRIVE                                                ,WAUSAU                   ,WI        ,54401-0000
07/12/2021 ,00392015     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - UW COLLEGE MANITOWOC              ,705 VIEBAHN STREET                                                     ,MANITOWOC                ,WI        ,54220-6699
07/12/2021 ,00392016     ,UNIVERSITY OF WISCONSIN - OSHKOSH                                     ,UNIVERSITY OF WISCONSIN - OSHKOSH - UW COLLEGE MARATHON COUNTY        ,518 SOUTH 7TH AVENUE                                                   ,WAUSAU                   ,WI        ,54401-0000
