CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
08/21/2020 ,00757303     ,EMPIRE BEAUTY SCHOOL                                                  ,EMPIRE BEAUTY SCHOOL - HURSTBOURNE                                    ,5314 BARDSTOWN ROAD                                                    ,LOUISVILLE               ,KY        ,40291-1931
08/21/2020 ,00966409     ,EMPIRE BEAUTY SCHOOL                                                  ,EMPIRE BEAUTY SCHOOL - LAUDERHILL                                     ,4806 NORTH UNIVERSITY DRIVE                                            ,LAUDERHILL               ,FL        ,33351-4509
08/22/2020 ,00158014     ,MERCER UNIVERSITY                                                     ,MERCER UNIVERSITY - NAVICIENT HEALTH                                  ,777 HEMLOCK STREET                                                     ,MACON                    ,GA        ,31201-2102
08/22/2020 ,00158022     ,MERCER UNIVERSITY                                                     ,MERCER UNIVERSITY - PIEDMONT HEALTHCARE SYSTEMS                       ,1968 PEACHTREE ROAD                                                    ,ATLANTA                  ,GA        ,30309-1281
08/23/2020 ,00152611     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY - SHAW EDUCATION CENTER                          ,398 SHAW DRIVE BUILDING 501 ROOM 116                                   ,SHAW AIR FORCE BASE      ,SC        ,29152-5100
08/23/2020 ,00152638     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY - SUMTER EDUCATION CENTER                        ,WISE DRIVE BAPTIST CHURCH 2751 SOUTH WISE DRIVE                        ,SUMTER                   ,SC        ,29150-0000
08/23/2020 ,00152639     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY - SAINT PETERSBURG CATHOLIC HIGH SCHOOL          ,6333 9TH AVENUE NORTH                                                  ,ST. PETERSBURG           ,FL        ,33710-0000
08/23/2020 ,00152640     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY - TAMPA CATHOLIC HIGH SCHOOL                     ,4630 NORTH ROME AVENUE                                                 ,TAMPA                    ,FL        ,33603-2899
08/23/2020 ,00152642     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY -ATLANTA CENTER                                  ,2450  PIEDMONT ROAD NORTHEAST                                          ,ATLANTA                  ,GA        ,30324-0000
08/23/2020 ,00152654     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY - DIOCESE OF CHARLESTON                          ,OUR LADY OF THE HILLSCATHOLICCHURCH 120 MARYDALE LANE                  ,COLUMBIA                 ,SC        ,29210-0000
08/23/2020 ,00152656     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY - NEWPORT NEWS EDUCATION CENTER                  ,ONE BAYPORT WAY SUITE 160                                              ,NEWPORT NEWS             ,VA        ,23606-0000
08/23/2020 ,00152671     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY - NAVAL BASE SAN DIEGO EDUCATION CENTER          ,3705 NORMAN SCOTT ROAD                                                 ,SAN DIEGO                ,CA        ,92136-0000
08/23/2020 ,00152672     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY -  TECH DATA CORPORATION                         ,5350 TECH DATA DRIVE                                                   ,CLEARWATER               ,FL        ,33760-0000
08/23/2020 ,00152673     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY - LAKELAND EDUCATION CENTER                      ,315 GRANADA STREET                                                     ,LAKELAND                 ,FL        ,33805-0000
08/23/2020 ,00152687     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY - NORFOLK SHERIFF'S OFFICE                       ,140 EAST STREET                                                        ,NORFOLK                  ,VA        ,23510-0000
08/24/2020 ,00152624     ,SAINT LEO UNIVERSITY                                                  ,SAINT LEO UNIVERSITY - NAVAL BASE SAN DIEGO TRAINING SUPPORT CENTER   ,NAVY COLLEGE OFFICE BUILDING 3280 3975 NORMA SCOTT ROAD                ,SAN DIEGO                ,CA        ,92136-0000
08/24/2020 ,00527704     ,EASTERN MAINE COMMUNITY COLLEGE                                       ,EASTERN MAINE COMMUNITY COLLEGE -                                     ,HANCOCK COUNTY CENER 249 STATE STREET. SUITE 18A                       ,ELLSWORTH                ,ME        ,04605-0000
08/26/2020 ,01070001     ,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-JACKSBORO                     ,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-JACKSBORO -                   ,2221 JACKSBORO PIKE SUITE C-16                                         ,LAFOLLETTE               ,TN        ,37766-3006
08/26/2020 ,02541901     ,BJ'S BEAUTY & BARBER COLLEGE                                          ,BJ'S BEAUTY & BARBER COLLEGE                                          ,12020 MERIDIAN E. SUITE G                                              ,PUYALLUP                 ,WA        ,98373-0000
08/28/2020 ,04223102     ,ARROJO COSMETOLOGY SCHOOL                                             ,ARROJO COSMETOLOGY SCHOOL -                                           ,200 HUDSON STREET                                                      ,NEW YORK                 ,NY        ,10013-1807
08/29/2020 ,00385000     ,HOLY FAMILY COLLEGE                                                   ,HOLY FAMILY COLLEGE                                                   ,2406 SOUTH ALVERNO ROAD                                                ,MANITOWOC                ,WI        ,54220-9319
08/30/2020 ,00177217     ,TRINITY INTERNATIONAL UNIVERSITY                                      ,TRINITY INTERNATIONAL UNIVERSITY - SOUTH CHICAGO REGIONAL CENTER      ,14240 SOUTH DANTE AVENUE                                               ,DOLTON                   ,IL        ,60419-1348
08/30/2020 ,00279106     ,PACE UNIVERSITY                                                       ,PACE UNIVERSITY - MIDTOWN CENTER                                      ,551 FIFTH AVENUE                                                       ,NEW YORK                 ,NY        ,10176-0001
08/30/2020 ,00379817     ,UNIVERSITY OF WASHINGTON - SEATTLE                                    ,UNIVERSITY OF WASHINGTON - SEATTLE - HARBORVIEW                       ,300 9TH AVE RESEARCH AND TRAINING BLDG RM 108                          ,SEATTLE                  ,WA        ,98104-0000
08/31/2020 ,00139725     ,UNIVERSITY OF NEW HAVEN                                               ,UNIVERSITY OF NEW HAVEN -  SANDIA/ALBUQUERQUE                         ,377 FSS/FSDEE (KIRTLAND AFB ED CTR) 1900 WYOMING SE BLDG 20602         ,KIRTLAND AFB             ,NM        ,87117-5604
08/31/2020 ,00314405     ,XAVIER UNIVERSITY                                                     ,XAVIER UNIVERSITY - WEST CHESTER MBA                                  ,9277 CENTRE POINTE DRIVE                                               ,WEST CHESTER             ,OH        ,45069-4844
08/31/2020 ,00893900     ,CANNELLA SCHOOL OF HAIR DESIGN                                        ,CANNELLA SCHOOL OF HAIR DESIGN                                        ,12943 WESTERN AVE                                                      ,BLUE ISLAND              ,IL        ,60406-2416
08/31/2020 ,01028626     ,SUNY EMPIRE STATE COLLEGE                                             ,SUNY EMPIRE STATE COLLEGE - CANANDAIGUA                               ,25 NORTH STREET CORPORATE SQUARE OFFICE PARK                           ,CANANDAIGUA              ,NY        ,14424-8395
08/31/2020 ,01077905     ,PORTER AND CHESTER INSTITUTE                                          ,PORTER AND CHESTER INSTITUTE - CHICOPEE                               ,134 DULONG CIRCLE                                                      ,CHICOPEE                 ,MA        ,01022-1153
09/01/2020 ,00262924     ,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY                            ,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY - STRATFORD                ,40 EAST LAUREL ROAD                                                    ,STRATFORD                ,NJ        ,08084-1350
09/01/2020 ,00262925     ,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY                            ,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY - SCOTCH PLAINS            ,1776 RARITAN ROAD                                                      ,SCOTCH PLAINS            ,NJ        ,07076-2928
09/01/2020 ,02182201     ,NEW SCHOOL CENTER FOR MEDIA                                           ,NEW SCHOOL CENTER FOR MEDIA - TECHNOLOGY AND MEDIA SCHOOL             ,566 7TH AVENUE SECOND FLOOR                                            ,NEW YORK                 ,NY        ,10018-1801
09/02/2020 ,03781401     ,INDUSTRIAL TECHNICAL COLLEGE                                          ,INDUSTRIAL TECHNICAL COLLEGE - NAGUABO                                ,44 BALDORIOTTY STREET 2ND FLOOR                                        ,NAGUABO                  ,PR        ,00718-0000
09/04/2020 ,00121814     ,LOMA LINDA UNIVERSITY                                                 ,LOMA LINDA UNIVERSITY - MAYAGUEZ PUERTO RICO                          ,ANTILLEAN ADVENTIST UNIVERSITY PO BOX 118                              ,MAYAGUEZ                 ,PR        ,00681-0118
09/08/2020 ,04149801     ,SOMERSET COUNTY TECHNOLOGY CENTER                                     ,SOMERSET COUNTY TECHNOLOGY CENTER - BEDFORD CAMPUS                    ,HESS BUSINESS CENTER 1 COPORATE DRIVE                                  ,BEDFORD                  ,PA        ,15522-6946
09/10/2020 ,10147900     ,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY                                  ,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY - LITTLE ROCK CAMPUS             ,1490 VANDENBURG BOULEVARD SUITE 111                                    ,LITTLE ROCK AIR FORCE BAS,AR        ,72099-5031
09/13/2020 ,00367401     ,INDEPENDENCE UNIVERSITY                                               ,STEVENS HENAGER COLLEGE - OREM CAMPUS                                 ,1476 SOUTH SANDHILL ROAD                                               ,OREM                     ,UT        ,84058-7310
09/13/2020 ,00367405     ,INDEPENDENCE UNIVERSITY                                               ,STEVENS HENAGER COLLEGE - LOGAN UT                                    ,755 SOUTH HIGHWAY 89-91                                                ,LOGAN                    ,UT        ,84321-9707
09/13/2020 ,00367411     ,INDEPENDENCE UNIVERSITY                                               ,STEVENS HENAGER COLLEGE - ST. GEORGE                                  ,1568 SOUTH RIVER ROAD                                                  ,ST. GEORGE               ,UT        ,84790-2111
09/13/2020 ,02594300     ,COLLEGEAMERICA DENVER                                                 ,COLLEGEAMERICA DENVER                                                 ,1385 SOUTH COLORADO BOULEVARD 5TH FLOOR                                ,DENVER                   ,CO        ,80222-3380
09/13/2020 ,02594301     ,COLLEGEAMERICA DENVER                                                 ,COLLEGEAMERICA DENVER - FORT COLLINS                                  ,4601 SOUTH MASON STREET                                                ,FORT COLLINS             ,CO        ,80525-5842
